CustomerID,Segment_Label,Recency,Frequency,Monetary,AvgOrderValue,Tenure,AvgGapDays,Churn_Probability,Churn_Prediction,Risk_Tier,Recommended_Action,RFM_Cluster_Label
12346,Champions,325,12,77556.46,6463.038333333334,725,35.90909090909091,,,Lapsed,[Lapsed] VIP Win-Back: Personal call + exclusive loyalty reward + free shipping,Champions
16754,Champions,371,29,65500.07,2258.6231034482757,641,9.285714285714286,,,Lapsed,[Lapsed] VIP Win-Back: Personal call + exclusive loyalty reward + free shipping,Champions
13093,Champions,275,55,54144.25,984.4409090909091,735,8.092592592592593,,,Lapsed,[Lapsed] VIP Win-Back: Personal call + exclusive loyalty reward + free shipping,Champions
17850,Champions,371,155,51208.87,330.3798064516129,734,2.25974025974026,,,Lapsed,[Lapsed] VIP Win-Back: Personal call + exclusive loyalty reward + free shipping,Champions
15749,At Risk,234,3,44534.3,14844.766666666668,331,48.5,,,Lapsed,[Lapsed] Recovery: Time-limited 30% win-back discount + feedback survey,At Risk
15098,At Risk,181,3,39916.5,13305.5,181,0.0,,,Lapsed,[Lapsed] Recovery: Time-limited 30% win-back discount + feedback survey,At Risk
13902,At Risk,631,5,34095.259999999995,6819.051999999999,724,22.5,,,Lapsed,[Lapsed] Recovery: Time-limited 30% win-back discount + feedback survey,At Risk
13802,Champions,138,19,26259.11,1382.0584210526315,661,28.666666666666668,,,Lapsed,[Lapsed] VIP Win-Back: Personal call + exclusive loyalty reward + free shipping,Champions
12482,Champions,575,29,23691.4,816.944827586207,653,2.642857142857143,,,Lapsed,[Lapsed] VIP Win-Back: Personal call + exclusive loyalty reward + free shipping,Champions
14063,At Risk,437,9,22710.2,2523.355555555556,730,36.25,,,Lapsed,[Lapsed] Recovery: Time-limited 30% win-back discount + feedback survey,At Risk
15808,Champions,305,21,17388.48,828.0228571428571,737,21.05,,,Lapsed,[Lapsed] VIP Win-Back: Personal call + exclusive loyalty reward + free shipping,Champions
13564,Champions,143,37,16709.55,451.60945945945946,737,16.055555555555557,,,Lapsed,[Lapsed] VIP Win-Back: Personal call + exclusive loyalty reward + free shipping,Champions
16553,Champions,162,33,16644.010000000002,504.36393939393946,665,15.4375,,,Lapsed,[Lapsed] VIP Win-Back: Personal call + exclusive loyalty reward + free shipping,Champions
12980,Champions,157,21,16245.78,773.6085714285715,737,28.5,,,Lapsed,[Lapsed] VIP Win-Back: Personal call + exclusive loyalty reward + free shipping,Champions
17448,Champions,496,46,14556.97,316.45586956521737,644,3.0444444444444443,,,Lapsed,[Lapsed] VIP Win-Back: Personal call + exclusive loyalty reward + free shipping,Champions
15760,At Risk,630,2,13916.34,6958.17,630,0.0,,,Lapsed,[Lapsed] Recovery: Time-limited 30% win-back discount + feedback survey,At Risk
13952,Champions,217,14,12823.521,915.9657857142857,723,38.38461538461539,,,Lapsed,[Lapsed] VIP Win-Back: Personal call + exclusive loyalty reward + free shipping,Champions
13687,At Risk,437,1,11880.84,11880.84,437,,,,Lapsed,[Lapsed] Recovery: Time-limited 30% win-back discount + feedback survey,At Risk
14016,At Risk,161,11,11403.41,1036.6736363636364,699,53.4,,,Lapsed,[Lapsed] Recovery: Time-limited 30% win-back discount + feedback survey,At Risk
14134,At Risk,382,15,11123.35,741.5566666666667,729,24.428571428571427,,,Lapsed,[Lapsed] Recovery: Time-limited 30% win-back discount + feedback survey,At Risk
15032,At Risk,255,8,11010.05,1376.25625,728,67.14285714285714,,,Lapsed,[Lapsed] Recovery: Time-limited 30% win-back discount + feedback survey,At Risk
12918,At Risk,625,1,10953.5,10953.5,625,,,,Lapsed,[Lapsed] Recovery: Time-limited 30% win-back discount + feedback survey,At Risk
18052,At Risk,564,1,10877.18,10877.18,564,,,,Lapsed,[Lapsed] Recovery: Time-limited 30% win-back discount + feedback survey,At Risk
14028,At Risk,549,3,10396.5,3465.5,550,0.0,,,Lapsed,[Lapsed] Recovery: Time-limited 30% win-back discount + feedback survey,At Risk
18260,Champions,172,23,9962.11,433.13521739130437,723,24.59090909090909,,,Lapsed,[Lapsed] VIP Win-Back: Personal call + exclusive loyalty reward + free shipping,Champions
17230,Champions,263,18,9924.95,551.3861111111112,730,27.176470588235293,,,Lapsed,[Lapsed] VIP Win-Back: Personal call + exclusive loyalty reward + free shipping,Champions
12590,At Risk,210,2,9864.26,4932.13,210,0.0,,,Lapsed,[Lapsed] Recovery: Time-limited 30% win-back discount + feedback survey,At Risk
14828,At Risk,196,13,9839.46,756.8815384615384,732,44.166666666666664,,,Lapsed,[Lapsed] Recovery: Time-limited 30% win-back discount + feedback survey,At Risk
17504,Champions,205,18,9565.12,531.3955555555556,669,26.88235294117647,,,Lapsed,[Lapsed] VIP Win-Back: Personal call + exclusive loyalty reward + free shipping,Champions
14091,At Risk,653,2,9530.08,4765.04,697,44.0,,,Lapsed,[Lapsed] Recovery: Time-limited 30% win-back discount + feedback survey,At Risk
14439,At Risk,319,5,9443.039999999999,1888.6079999999997,686,91.5,,,Lapsed,[Lapsed] Recovery: Time-limited 30% win-back discount + feedback survey,At Risk
14160,At Risk,609,7,8421.470000000001,1203.067142857143,698,14.5,,,Lapsed,[Lapsed] Recovery: Time-limited 30% win-back discount + feedback survey,At Risk
13206,At Risk,399,13,8377.32,644.4092307692307,731,27.166666666666668,,,Lapsed,[Lapsed] Recovery: Time-limited 30% win-back discount + feedback survey,At Risk
13715,At Risk,280,17,8210.64,482.9788235294117,637,21.8125,,,Lapsed,[Lapsed] Recovery: Time-limited 30% win-back discount + feedback survey,At Risk
